[2018-02-23 00:10:26,531][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:27,532][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:28,533][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:29,535][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:30,536][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:31,537][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:32,538][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:33,539][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:34,540][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:35,541][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:36,543][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:37,544][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:38,545][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:39,545][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:40,546][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:41,547][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:42,548][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:43,549][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:44,550][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:45,552][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:46,553][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:47,554][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:48,555][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:49,556][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:50,556][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:51,557][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:52,557][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:53,558][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:54,560][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:55,561][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:56,562][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:57,563][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:58,565][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:59,566][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:00,566][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:01,567][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:02,568][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:03,569][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:04,570][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:05,571][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:06,571][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:07,572][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:08,573][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:09,573][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:10,574][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:11,574][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:12,576][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:13,577][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:14,578][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:15,578][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:16,580][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:17,581][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:18,582][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:19,584][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:20,585][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:21,586][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:22,587][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
